iter	Passed	Remaining
1132	30103	9751
1133	30128	9723
1134	30153	9697
1135	30176	9669
1136	30198	9641
1137	30221	9613
1138	30245	9586
1139	30268	9558
1140	30291	9530
1141	30314	9503
1142	30336	9475
1143	30359	9447
1144	30382	9420
1145	30403	9391
1146	30425	9363
1147	30448	9336
1148	30472	9308
1149	30493	9280
1150	30514	9252
1151	30536	9224
1152	30560	9197
1153	30584	9170
1154	30608	9142
1155	30633	9115
1156	30657	9088
1157	30681	9061
1158	30704	9033
1159	30727	9006
1160	30750	8978
1161	30773	8951
1162	30796	8923
1163	30818	8896
1164	30840	8868
1165	30863	8840
1166	30885	8813
1167	30906	8785
1168	30928	8757
1169	30952	8730
1170	30978	8703
1171	31005	8677
1172	31033	8651
1173	31058	8624
1174	31082	8597
1175	31108	8570
1176	31133	8543
1177	31160	8517
1178	31185	8490
1179	31208	8463
1180	31235	8436
1181	31258	8409
1182	31286	8383
1183	31309	8356
1184	31333	8329
1185	31355	8301
1186	31377	8273
1187	31398	8246
1188	31419	8218
1189	31442	8190
1190	31465	8163
1191	31488	8136
1192	31511	8108
1193	31532	8081
1194	31553	8053
1195	31575	8025
1196	31599	7998
1197	31624	7972
1198	31646	7944
1199	31667	7916
1200	31691	7889
1201	31713	7862
1202	31734	7834
1203	31755	7807
1204	31777	7779
1205	31801	7752
1206	31824	7725
1207	31846	7698
1208	31870	7671
1209	31891	7643
1210	31915	7616
1211	31936	7588
1212	31959	7561
1213	31980	7534
1214	32002	7506
1215	32023	7479
1216	32046	7452
1217	32068	7424
1218	32089	7397
1219	32110	7369
1220	32133	7342
1221	32157	7315
1222	32181	7288
1223	32206	7262
1224	32229	7235
1225	32255	7208
1226	32282	7182
1227	32306	7155
1228	32329	7128
1229	32355	7102
1230	32381	7076
1231	32407	7049
1232	32432	7023
1233	32452	6995
1234	32476	6968
1235	32501	6942
1236	32525	6915
1237	32550	6888
1238	32572	6861
1239	32592	6834
1240	32616	6807
1241	32639	6780
1242	32660	6752
1243	32681	6725
1244	32701	6697
1245	32721	6670
1246	32741	6642
1247	32759	6614
1248	32778	6587
1249	32798	6559
1250	32817	6532
1251	32836	6504
1252	32855	6476
1253	32875	6449
1254	32895	6421
1255	32917	6394
1256	32938	6367
1257	32958	6340
1258	32974	6312
1259	32991	6284
1260	33008	6256
1261	33025	6228
1262	33042	6200
1263	33059	6172
1264	33075	6144
1265	33093	6116
1266	33109	6088
1267	33126	6060
1268	33142	6033
1269	33159	6005
1270	33177	5977
1271	33193	5949
1272	33210	5922
1273	33228	5894
1274	33245	5866
1275	33263	5839
1276	33282	5812
1277	33300	5784
1278	33323	5758
1279	33346	5731
1280	33370	5704
1281	33392	5678
1282	33413	5651
1283	33436	5624
1284	33458	5598
1285	33480	5571
1286	33502	5544
1287	33525	5518
1288	33546	5491
1289	33569	5464
1290	33591	5438
1291	33613	5411
1292	33636	5384
1293	33657	5358
1294	33679	5331
1295	33701	5304
1296	33723	5278
1297	33744	5251
1298	33767	5224
1299	33790	5198
1300	33813	5172
1301	33834	5145
1302	33855	5118
1303	33892	5094
1304	33914	5067
1305	33936	5041
1306	33957	5014
1307	33980	4988
1308	34003	4961
1309	34024	4934
1310	34046	4908
1311	34068	4881
1312	34091	4855
1313	34113	4828
1314	34135	4802
1315	34157	4775
1316	34179	4749
1317	34203	4723
1318	34223	4696
1319	34245	4669
1320	34271	4643
1321	34293	4617
1322	34317	4591
1323	34339	4564
1324	34361	4538
1325	34384	4512
1326	34405	4485
1327	34428	4459
1328	34448	4432
1329	34470	4405
1330	34492	4379
1331	34514	4353
1332	34536	4326
1333	34553	4299
1334	34574	4273
1335	34590	4246
1336	34621	4220
1337	34639	4194
1338	34656	4167
1339	34674	4140
1340	34690	4113
1341	34708	4086
1342	34724	4059
1343	34741	4032
1344	34758	4005
1345	34776	3978
1346	34793	3951
1347	34810	3925
1348	34828	3898
1349	34845	3871
1350	34863	3845
1351	34880	3818
